/informationTable,,,,,,,,,,,,,,,
/infoTable/cusip,/infoTable/investmentDiscretion,/infoTable/nameOfIssuer,/infoTable/otherManager,/infoTable/shrsOrPrnAmt/sshPrnamt,/infoTable/shrsOrPrnAmt/sshPrnamt/#agg,/infoTable/shrsOrPrnAmt/sshPrnamtType,/infoTable/titleOfClass,/infoTable/value,/infoTable/value/#agg,/infoTable/votingAuthority/None,/infoTable/votingAuthority/None/#agg,/infoTable/votingAuthority/Shared,/infoTable/votingAuthority/Shared/#agg,/infoTable/votingAuthority/Sole,/infoTable/votingAuthority/Sole/#agg
247361702,DFND,DELTA AIR LINES INC DEL,"4,8,11",6993123,6993123,SH,COM NEW,408958,408958,0,0,0,0,6993123,6993123
247361702,DFND,DELTA AIR LINES INC DEL,"4,11",63917333,63917333,SH,COM NEW,3737886,3737886,0,0,0,0,63917333,63917333
37045V100,DFND,GENERAL MTRS CO,4,26994000,26994000,SH,COM,987980,987980,0,0,0,0,26994000,26994000
37045V100,DFND,GENERAL MTRS CO,"4,8,11",24887209,24887209,SH,COM,910872,910872,0,0,0,0,24887209,24887209
37045V100,DFND,GENERAL MTRS CO,"4,10",8402338,8402338,SH,COM,307526,307526,0,0,0,0,8402338,8402338
37045V100,DFND,GENERAL MTRS CO,"4,11",14716453,14716453,SH,COM,538622,538622,0,0,0,0,14716453,14716453
3.7959E+106,DFND,GLOBE LIFE INC,"2,4,11",174489,174489,SH,COM,18365,18365,0,0,0,0,174489,174489
3.7959E+106,DFND,GLOBE LIFE INC,"4,5",1011888,1011888,SH,COM,106501,106501,0,0,0,0,1011888,1011888
3.7959E+106,DFND,GLOBE LIFE INC,"4,10",1439325,1439325,SH,COM,151489,151489,0,0,0,0,1439325,1439325
3.7959E+106,DFND,GLOBE LIFE INC,"4,11",3728025,3728025,SH,COM,392375,392375,0,0,0,0,3728025,3728025
38141G104,DFND,GOLDMAN SACHS GROUP INC,"4,8,11",4375968,4375968,SH,COM,1006166,1006166,0,0,0,0,4375968,4375968
38141G104,DFND,GOLDMAN SACHS GROUP INC,"4,11",7628783,7628783,SH,COM,1754086,1754086,0,0,0,0,7628783,7628783
46625H100,DFND,JPMORGAN CHASE & CO,"1,2,4,11",913000,913000,SH,COM,127272,127272,0,0,0,0,913000,913000
46625H100,DFND,JPMORGAN CHASE & CO,"2,4,11",1829100,1829100,SH,COM,254977,254977,0,0,0,0,1829100,1829100
46625H100,DFND,JPMORGAN CHASE & CO,"4,5",216500,216500,SH,COM,30180,30180,0,0,0,0,216500,216500
46625H100,DFND,JPMORGAN CHASE & CO,"4,6",274000,274000,SH,COM,38196,38196,0,0,0,0,274000,274000
46625H100,DFND,JPMORGAN CHASE & CO,"4,10",1735000,1735000,SH,COM,241859,241859,0,0,0,0,1735000,1735000
46625H100,DFND,JPMORGAN CHASE & CO,"4,11",52496332,52496332,SH,COM,7317989,7317989,0,0,0,0,52496332,52496332
46625H100,DFND,JPMORGAN CHASE & CO,"4,14",2051000,2051000,SH,COM,285909,285909,0,0,0,0,2051000,2051000
478160104,DFND,JOHNSON & JOHNSON,4,327100,327100,SH,COM,47714,47714,0,0,0,0,327100,327100
500754106,DFND,KRAFT HEINZ CO,4,325634818,325634818,SH,COM,10462647,10462647,0,0,0,0,325634818,325634818
501044101,DFND,KROGER CO,"4,11",18940079,18940079,SH,COM,549073,549073,0,0,0,0,18940079,18940079
531229409,DFND,LIBERTY MEDIA CORP DELAWARE,4,4308117,4308117,SH,COM A SIRIUSXM,208254,208254,0,0,0,0,4308117,4308117
531229409,DFND,LIBERTY MEDIA CORP DELAWARE,"4,8,11",7791780,7791780,SH,COM A SIRIUSXM,376655,376655,0,0,0,0,7791780,7791780
531229409,DFND,LIBERTY MEDIA CORP DELAWARE,"4,10",933391,933391,SH,COM A SIRIUSXM,45120,45120,0,0,0,0,933391,933391
531229409,DFND,LIBERTY MEDIA CORP DELAWARE,"4,11",1827072,1827072,SH,COM A SIRIUSXM,88321,88321,0,0,0,0,1827072,1827072
531229607,DFND,LIBERTY MEDIA CORP DELAWARE,4,7153027,7153027,SH,COM C SIRIUSXM,344347,344347,0,0,0,0,7153027,7153027
531229607,DFND,LIBERTY MEDIA CORP DELAWARE,"4,8,11",19359910,19359910,SH,COM C SIRIUSXM,931986,931986,0,0,0,0,19359910,19359910
531229607,DFND,LIBERTY MEDIA CORP DELAWARE,"4,10",508654,508654,SH,COM C SIRIUSXM,24487,24487,0,0,0,0,508654,508654
531229607,DFND,LIBERTY MEDIA CORP DELAWARE,"4,11",4069394,4069394,SH,COM C SIRIUSXM,195901,195901,0,0,0,0,4069394,4069394
55261F104,DFND,M & T BK CORP,"4,8,11",546000,546000,SH,COM,92684,92684,0,0,0,0,546000,546000
55261F104,DFND,M & T BK CORP,"4,10",164795,164795,SH,COM,27974,27974,0,0,0,0,164795,164795
